2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  18,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 967.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  18,6; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 966.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,6; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 965.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,6; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 964.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,6; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 963.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  15,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 962.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 961.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 960.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 959.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 958.0; Tile: ROAD
2019-10-23 19:46:25 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 957.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 956.0; Tile: ROAD
2019-10-23 19:46:26 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   8,5; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 955.0; Tile: ROAD
